seed,domain,exact_local_utility,hungarian_utility,percent_of_exact_local,selected_ues,allowed_ues,demand_copies,physical_slots,fully_selected_before_repair,partially_selected_before_repair,repair_drops,refills,swap_used
10,4,74.93093551285517,74.93093551285517,100.0,4,10,37,20,4,1,0,0,False
10,5,69.35141218847363,69.35141218847363,100.0,5,10,42,20,5,1,0,0,True
10,6,78.94233795285786,75.9711116121377,96.23620680895658,4,12,54,20,4,0,1,1,True
10,7,72.15166622018562,72.15166622018562,100.0,5,12,46,20,5,1,0,0,False
10,8,60.91151667697116,60.91151667697116,100.0,6,12,45,20,5,1,0,1,False
10,9,91.68706652517923,91.68706652517923,100.0,4,10,51,20,3,1,0,1,False
11,0,68.02335448981323,67.94284348321948,99.88164211071683,4,10,44,20,3,1,0,1,True
11,1,75.65644888144863,75.65644888144863,100.0,5,12,48,20,5,0,0,0,False
11,2,81.40313260563738,81.40313260563738,100.0,5,12,48,20,4,1,0,1,False
11,3,86.5932886272031,86.09252977996516,99.42171171094589,6,12,41,20,5,1,0,1,False
11,4,77.77249888573932,72.22626272088918,92.86864091508943,5,10,35,20,6,0,1,0,False
11,5,73.01427297835103,72.16223595821654,98.8330541613595,5,10,42,20,4,1,0,1,True
11,6,76.72863999343124,76.29469188395717,99.43443789762046,5,12,48,20,5,1,0,0,True
11,7,78.92216445728945,78.92216445728945,100.0,5,12,43,20,5,1,0,0,False
11,8,76.83159701400865,76.08081854659892,99.0228258989946,4,12,48,20,4,1,0,0,False
11,9,76.80993149918828,76.80993149918828,100.0,6,10,39,20,4,0,1,3,False
12,0,68.57818281937773,68.57818281937773,100.0,5,10,42,20,4,1,1,2,False
12,1,66.39796529966954,66.39796529966954,100.0,5,12,43,20,5,1,0,0,False
12,2,73.3673968818733,73.3673968818733,100.0,4,12,55,20,4,1,0,0,False
12,3,71.4460991146803,71.43397608215197,99.9830319182173,5,12,49,20,4,1,0,1,True
12,4,73.89345730008056,73.89345730008056,100.0,5,10,38,20,5,1,0,0,False
12,5,66.64835311713067,66.64835311713067,100.0,6,10,38,20,6,0,0,0,False
12,6,72.4925782666935,72.4925782666935,100.0,5,12,42,20,5,0,1,1,False
12,7,78.31422729031522,77.9108155231163,99.48488061345041,4,12,51,20,4,1,0,0,False
12,8,73.07620665540172,73.07620665540172,100.0,4,12,57,20,4,1,0,0,False
12,9,63.44486960840059,61.89256994171952,97.55330939087385,6,10,38,20,4,1,0,2,False
13,0,67.58563590782877,67.58563590782877,100.0,5,10,43,20,5,0,0,0,False
13,1,78.90500313495896,71.90793181855034,91.13228434394604,5,12,49,20,5,1,0,0,True
13,2,62.75674976784846,60.49501242141865,96.39602536014613,4,12,57,20,4,1,0,0,False
13,3,71.78347162753943,70.17843273438247,97.76405507177896,6,12,48,20,4,1,0,2,False
13,4,67.46813765542113,67.3977182367432,99.89562566698139,5,10,33,20,5,1,0,0,True
13,5,71.54611689284896,69.57583711200495,97.24614015908816,6,10,38,20,6,1,0,0,False
13,6,56.718805899901504,56.718805899901504,100.00000000000001,3,12,55,20,4,1,1,0,True
13,7,70.3793588365836,70.3793588365836,100.0,5,12,52,20,5,1,0,0,True
13,8,83.58430386581713,83.58430386581713,100.0,5,12,47,20,5,0,0,0,False
13,9,72.7029587118865,72.7029587118865,100.0,6,10,38,20,5,1,0,1,False
14,0,77.4165255982451,77.4165255982451,100.0,6,10,35,20,6,0,0,0,False
14,1,71.70193039671813,70.29294917643166,98.03494660117136,6,12,43,20,6,1,0,0,False
14,2,73.9341837149365,73.9341837149365,100.0,6,12,38,20,6,0,0,0,False
14,3,77.6873184281822,77.6873184281822,100.0,5,12,42,20,5,0,0,0,False
14,4,75.64642068647035,75.64642068647035,100.0,6,10,32,20,5,1,0,1,False
14,5,71.62963885510877,71.62963885510877,100.0,5,10,41,20,4,1,0,1,True
14,6,64.37653354954645,61.833851774837854,96.05029715874394,5,12,46,20,5,1,0,0,True
14,7,81.53225120309114,81.53225120309114,100.0,5,12,46,20,5,0,0,0,False
14,8,69.57806340413427,67.8620289363761,97.53365589123857,5,12,44,20,5,1,0,0,False
14,9,72.14413008138796,72.14413008138796,100.0,5,10,36,20,4,1,0,1,False
15,0,81.42532333226994,81.42532333226994,100.0,5,10,44,20,4,1,0,1,False
15,1,80.59512354452372,80.59512354452372,100.0,4,12,51,20,4,1,0,0,True
15,2,73.53967994099168,73.53967994099168,100.0,6,12,50,20,6,0,0,0,False
15,3,60.49569282094215,59.08277229147227,97.66442788968148,3,12,56,20,4,0,1,0,True
15,4,74.16810923933579,74.16810923933579,100.0,4,10,47,20,4,1,0,0,False
15,5,80.20358497672648,80.20358497672648,100.0,5,10,44,20,4,1,0,1,False
15,6,67.14527933416767,67.14527933416767,100.0,5,12,51,20,4,1,0,1,True
15,7,76.11401043811223,76.11401043811223,100.0,5,12,46,20,3,1,0,2,False
15,8,76.09533454288923,71.16574963258255,93.52183029364534,5,12,39,20,5,1,0,0,True
15,9,76.59781628435738,76.59781628435738,100.0,4,10,45,20,4,1,0,0,False
16,0,67.29155893266139,65.29796906521248,97.03738492751536,6,10,36,20,6,1,0,0,False
16,1,63.82769493877251,63.82769493877251,100.0,6,12,47,20,5,1,2,3,False
