round,UE1_d1,UE1_d2,UE1_d3,UE1_r1,UE1_r2,UE1_r3,UE1_s1,UE1_s2,UE1_s3,UE1_asgn,UE1_near,UE1_ok,UE2_d1,UE2_d2,UE2_d3,UE2_r1,UE2_r2,UE2_r3,UE2_s1,UE2_s2,UE2_s3,UE2_asgn,UE2_near,UE2_ok,UE3_d1,UE3_d2,UE3_d3,UE3_r1,UE3_r2,UE3_r3,UE3_s1,UE3_s2,UE3_s3,UE3_asgn,UE3_near,UE3_ok,UE4_d1,UE4_d2,UE4_d3,UE4_r1,UE4_r2,UE4_r3,UE4_s1,UE4_s2,UE4_s3,UE4_asgn,UE4_near,UE4_ok
51,77.1,247.7,185.3,15.0,0.0,3.76,45.2,0.0,11.0,O-RU1,O-RU1,OK,261.9,49.9,216.7,2.37,9.13,9.27,6.2,27.5,27.9,O-RU3,O-RU2,MISS,209.5,184.9,79.7,0.0,3.72,8.09,0.0,10.9,24.3,O-RU3,O-RU3,OK,191.0,126.6,142.2,0.0,6.23,4.98,0.0,18.7,14.8,O-RU2,O-RU2,OK
52,77.1,247.7,185.3,15.07,0.0,3.67,45.4,0.0,10.7,O-RU1,O-RU1,OK,261.9,49.9,216.7,2.37,15.03,3.71,6.2,45.2,10.8,O-RU2,O-RU2,OK,209.5,184.9,79.7,9.64,3.6,14.49,29.0,10.4,43.6,O-RU3,O-RU3,OK,191.0,126.6,142.2,0.0,12.81,4.84,0.0,38.6,14.4,O-RU2,O-RU2,OK
53,73.6,267.0,197.5,8.51,0.0,3.51,25.6,0.0,10.2,O-RU1,O-RU1,OK,260.9,76.7,191.3,2.46,8.46,3.77,6.5,25.5,11.0,O-RU2,O-RU2,OK,184.7,201.7,83.4,4.11,3.38,7.68,12.1,9.7,23.1,O-RU3,O-RU3,OK,213.5,105.3,156.0,0.0,6.98,4.59,0.0,21.0,13.6,O-RU2,O-RU2,OK
54,73.6,267.0,197.5,15.05,0.0,3.42,45.3,0.0,9.9,O-RU1,O-RU1,OK,260.9,76.7,191.3,2.59,15.26,3.77,7.0,45.9,11.0,O-RU2,O-RU2,OK,184.7,201.7,83.4,4.29,3.25,7.44,12.7,9.3,22.4,O-RU3,O-RU3,OK,213.5,105.3,156.0,8.59,7.27,4.44,25.8,21.9,13.2,O-RU1,O-RU2,MISS
55,73.6,267.0,197.5,8.41,0.0,3.33,25.3,0.0,9.6,O-RU1,O-RU1,OK,260.9,76.7,191.3,2.73,8.79,3.77,7.5,26.5,11.0,O-RU2,O-RU2,OK,184.7,201.7,83.4,0.0,8.79,7.17,0.0,26.5,21.5,O-RU2,O-RU3,MISS,213.5,105.3,156.0,0.0,7.55,4.29,0.0,22.7,12.7,O-RU3,O-RU2,MISS
56,75.4,286.3,210.9,8.95,0.0,3.3,26.9,0.0,9.5,O-RU1,O-RU1,OK,236.8,69.3,190.9,8.61,15.49,0.0,25.9,46.6,0.0,O-RU2,O-RU2,OK,162.3,221.8,97.9,10.82,2.9,6.68,32.6,8.1,20.1,O-RU1,O-RU3,MISS,237.0,87.5,173.1,0.0,14.48,4.03,0.0,43.6,11.9,O-RU2,O-RU2,OK
57,75.4,286.3,210.9,16.3,0.0,3.29,49.1,0.0,9.4,O-RU1,O-RU1,OK,236.8,69.3,190.9,3.14,15.42,3.72,8.9,46.4,10.9,O-RU2,O-RU2,OK,162.3,221.8,97.9,4.97,2.78,6.38,14.8,7.7,19.1,O-RU3,O-RU3,OK,237.0,87.5,173.1,0.0,8.2,3.88,0.0,24.7,11.4,O-RU2,O-RU2,OK
58,47.5,265.9,221.0,17.01,0.0,3.27,51.2,0.0,9.4,O-RU1,O-RU1,OK,210.4,71.4,194.3,3.31,8.67,3.68,9.5,26.1,10.7,O-RU2,O-RU2,OK,143.4,244.3,119.2,5.15,2.65,6.08,15.4,7.2,18.2,O-RU3,O-RU3,OK,261.2,75.5,192.5,0.0,8.38,3.73,0.0,25.2,10.9,O-RU2,O-RU2,OK
59,52.7,258.7,212.3,11.02,0.0,3.21,33.2,0.0,9.2,O-RU1,O-RU1,OK,210.4,71.4,194.3,3.61,8.33,9.4,10.5,25.1,28.3,O-RU3,O-RU2,MISS,143.4,244.3,119.2,5.42,2.45,5.59,16.2,6.5,16.7,O-RU3,O-RU3,OK,261.2,75.5,192.5,0.0,8.57,3.48,0.0,25.8,10.1,O-RU2,O-RU2,OK
60,52.7,258.7,212.3,11.23,0.0,3.16,33.8,0.0,9.0,O-RU1,O-RU1,OK,210.4,71.4,194.3,3.79,8.06,0.0,11.1,24.3,0.0,O-RU2,O-RU2,OK,143.4,244.3,119.2,5.57,2.33,5.31,16.7,6.1,15.9,O-RU1,O-RU3,MISS,261.2,75.5,192.5,0.0,8.59,3.42,0.0,25.9,9.9,O-RU2,O-RU2,OK
61,43.3,228.6,219.5,18.06,0.0,3.1,54.4,0.0,8.8,O-RU1,O-RU1,OK,184.6,83.5,201.7,3.99,7.78,0.0,11.7,23.4,0.0,O-RU2,O-RU2,OK,129.7,268.7,144.4,5.69,2.22,5.03,17.0,5.6,15.0,O-RU1,O-RU1,OK,276.8,72.5,205.7,0.0,15.22,3.43,0.0,45.8,9.9,O-RU2,O-RU2,OK
62,43.3,228.6,219.5,17.45,3.23,0.0,52.5,9.2,0.0,O-RU1,O-RU1,OK,184.6,83.5,201.7,4.26,7.37,9.14,12.6,22.2,27.5,O-RU3,O-RU2,MISS,129.7,268.7,144.4,5.78,2.13,4.81,17.3,5.3,14.3,O-RU1,O-RU1,OK,276.8,72.5,205.7,0.0,15.62,9.3,0.0,47.0,28.0,O-RU2,O-RU2,OK
63,43.3,228.6,219.5,10.01,3.41,0.0,30.1,9.8,0.0,O-RU1,O-RU1,OK,184.6,83.5,201.7,4.48,7.06,0.0,13.3,21.2,0.0,O-RU2,O-RU2,OK,129.7,268.7,144.4,5.62,2.12,4.94,16.8,5.3,14.7,O-RU1,O-RU1,OK,276.8,72.5,205.7,0.0,15.8,3.59,0.0,47.6,10.4,O-RU2,O-RU2,OK
